1. open,2. high,3. low,4. close,5. volume
423.155,423.155,423.12,423.13,425.0
423.16,423.16,423.11,423.15,29.0
423.17,423.17,423.11,423.14,178.0
423.15,423.19,423.15,423.18,202.0
423.15,423.18,423.11,423.17,198.0
423.155,423.2,423.15,423.2,66.0
423.08,423.2,423.08,423.155,403901.0
423.11,423.198,423.11,423.155,187.0
423.123,423.19,423.11,423.19,110.0
423.195,423.195,423.11,423.19,268.0
423.15,423.3,423.11,423.192,430.0
423.12,423.3,423.11,423.11,202.0
423.24,423.45,423.0,423.0,440.0
422.88,423.43,422.88,423.1,881.0
423.0,423.01,422.88,422.88,252.0
422.88,422.95,422.87,422.94,565.0
422.89,422.94,422.87,422.87,737.0
422.995,422.995,422.89,422.92,18.0
422.92,423.0,422.891,422.995,3126.0
422.94,422.948,422.87,422.87,144.0
422.84,423.08,422.84,422.87,30211.0
422.84,422.97,422.84,422.97,35.0
422.84,422.97,422.84,422.9,261.0
422.9,422.905,422.8,422.905,1178.0
422.895,422.96,422.83,422.96,457.0
422.97,422.97,422.83,422.89,79.0
422.92,422.92,422.81,422.89,1384.0
422.9,422.98,422.9,422.98,299.0
422.9,422.9,422.82,422.9,153.0
422.855,422.89,422.81,422.86,37.0
414.43,422.9,405.88,422.89,38.0
422.895,422.97,422.81,422.895,120.0
422.865,422.95,422.8,422.95,2407.0
422.82,422.94,422.79,422.94,222.0
422.801,422.88,422.79,422.79,64.0
422.885,422.98,422.8,422.85,185.0
422.885,422.98,422.79,422.885,149.0
422.89,422.89,422.79,422.87,88.0
422.85,422.98,422.79,422.885,220.0
422.895,422.92,422.79,422.835,546.0
422.895,422.91,422.79,422.88,115.0
422.895,422.9,422.79,422.8,150.0
422.88,422.88,422.79,422.88,457.0
422.79,422.88,422.79,422.835,273.0
422.79,422.88,422.79,422.88,163.0
422.79,422.88,422.79,422.79,748.0
422.81,422.87,422.79,422.79,2424.0
422.83,422.83,422.785,422.825,867.0
422.86,422.86,422.8,422.83,236.0
422.86,422.88,422.78,422.85,237.0
422.85,422.91,422.85,422.88,255.0
423.08,423.08,422.85,422.88,14936.0
422.9,423.08,422.85,422.85,1779.0
422.9,422.93,422.9,422.9,189.0
422.85,422.94,422.85,422.94,354.0
422.885,422.94,422.83,422.85,221.0
423.08,423.08,422.83,422.92,374.0
422.77,423.08,422.76,422.83,5710.0
422.98,423.09,422.71,422.805,359.0
422.84,423.09,422.59,423.09,313.0
422.99,423.09,422.59,422.84,1392.0
423.0,423.08,422.72,422.96,61919.0
423.09,423.09,422.35,422.97,869.0
423.29,423.35,423.08,423.08,14620.0
423.29,423.35,423.28,423.32,4260.0
423.14,423.285,423.08,423.285,154411.0
423.1,423.19,423.08,423.14,14835.0
423.23,423.35,423.1,423.1,3083.0
423.08,423.34,421.839,423.21,1664054.0
423.24,423.4,423.08,423.24,25760.0
423.31,423.49,423.08,423.22,32179.0
423.0,423.5,423.0,423.32,7310758.0
423.13,423.25,422.95,423.15,526176.0
423.27,423.33,423.06,423.13,203240.0
423.36,423.39,423.12,423.3,202187.0
422.93,423.45,422.88,423.38,172618.0
423.02,423.07,422.56,422.88,246142.0
423.14,423.18,422.86,423.09,233626.0
423.23,423.3,422.94,423.18,86080.0
423.31,423.34,423.13,423.245,75894.0
423.23,423.37,423.19,423.31,69106.0
423.23,423.37,422.81,423.24,114246.0
423.29,423.33,423.235,423.235,35709.0
423.45,423.47,423.25,423.29,49198.0
423.56,423.56,423.4,423.44,42086.0
423.423,423.57,423.39,423.57,45331.0
423.43,423.44,423.28,423.41,46157.0
423.365,423.45,423.34,423.41,34076.0
423.31,423.42,423.31,423.36,40548.0
423.31,423.38,423.25,423.33,23796.0
423.42,423.48,423.31,423.32,37504.0
423.38,423.466,423.36,423.42,50017.0
423.26,423.42,423.25,423.42,47837.0
423.35,423.38,423.25,423.26,22146.0
423.39,423.41,423.33,423.36,17222.0
423.36,423.41,423.35,423.41,30679.0
423.47,423.5,423.33,423.355,28472.0
423.44,423.51,423.37,423.5,20406.0
423.46,423.54,423.4,423.46,27601.0
423.45,423.55,423.42,423.475,28136.0
423.52,423.56,423.39,423.45,28077.0
423.4,423.51,423.32,423.51,34949.0
423.52,423.52,423.37,423.41,30355.0
